FECHA,RDTO
"2015-10-21",19.78
"2015-10-22",22.43
"2015-10-21",12.77
"2015-10-23",20.62
"2015-10-23",22.26
"2015-10-24",22.61
"2015-10-28",20.38
"2015-10-28",15.75
"2015-10-22",18.99
"2015-10-22",15.84
"2015-10-22",22.25
"2015-10-22",20.95
"2015-10-23",17.67
"2015-10-23",16.8
"2015-10-23",23.14
"2015-10-23",22.65
"2015-10-23",22.0
"2015-10-23",19.06
"2015-10-23",20.92
"2015-10-23",18.71
"2015-10-24",15.0
"2015-10-24",17.11
"2015-10-24",25.13
"2015-10-24",21.83
"2015-10-24",19.7
"2015-10-24",19.93
"2015-10-24",20.7
"2015-10-24",19.77
"2015-10-24",18.99
"2015-10-28",17.68
"2015-10-28",17.8
"2015-10-28",15.8
"2015-10-28",20.78
"2015-10-28",24.07
"2015-10-28",22.95
"2015-10-28",23.4
"2015-10-28",18.8
"2015-10-28",15.72
"2015-10-28",19.91
"2015-10-28",20.82
"2015-10-28",20.59
"2015-10-28",16.13
"2015-10-28",17.38
"2015-10-29",21.7
"2015-10-28",24.24
"2015-10-28",17.76
"2015-10-29",21.55
"2015-10-29",19.14
"2015-10-29",19.35
"2015-10-29",20.21
"2015-10-29",12.35
"2015-10-29",19.6
"2015-10-29",18.27
"2015-10-29",20.13
"2015-10-29",19.24
"2015-10-29",17.6
"2015-10-29",23.3
"2015-10-29",21.1
"2015-10-29",19.8
"2015-10-29",20.93
"2015-10-29",18.57
"2015-10-29",23.27
"2015-10-29",19.85
"2015-10-29",19.63
"2015-10-29",19.29
"2015-10-29",20.1
"2015-10-30",19.3
"2015-10-30",22.53
"2015-10-30",20.35
"2015-10-30",15.29
"2015-10-30",16.43
"2015-10-30",20.73
"2015-10-30",22.43
"2015-10-30",20.23
"2015-10-30",21.03
"2015-10-30",17.42
"2015-10-30",19.39
"2015-10-30",20.78
"2015-10-30",20.27
"2015-10-30",20.95
"2015-10-30",20.89
"2015-10-30",20.05
"2015-10-30",21.97
"2015-10-30",14.79
"2015-10-30",20.99
"2015-04-11",18.65
"2015-04-11",18.42
"2015-04-11",18.6
"2015-10-31",21.05
"2015-10-31",19.69
"2015-10-31",16.27
"2015-10-31",18.17
"2015-10-31",20.22
"2015-10-31",22.51
"2015-10-31",20.36
"2015-10-31",17.44
"2015-10-31",16.54
"2015-10-31",21.58
"2015-10-31",18.28
"2015-10-31",19.4
"2015-10-31",17.78
"2015-10-31",19.06
"2015-10-31",19.14
"2015-10-31",20.78
"2015-10-31",18.56
"2015-10-31",19.22
"2015-10-31",21.08
"2015-04-11",19.56
"2015-10-31",20.66
"2015-10-31",18.25
"2015-10-31",19.67
"2015-10-31",21.44
"2015-10-31",20.77
"2015-04-11",17.42
"2015-10-31",19.64
"2015-10-31",24.14
"2015-10-31",21.04
"2015-10-31",18.55
"2015-02-11",19.97
"2015-02-11",18.1
"2015-02-11",21.48
"2015-04-11",19.59
"2015-04-11",17.95
"2015-04-11",21.43
"2015-04-11",24.25
"2015-04-11",20.25
"2015-04-11",20.4
"2015-04-11",17.97
"2015-04-11",20.4
"2015-05-11",20.78
"2015-04-11",16.5
"2015-04-11",20.77
"2015-04-11",17.88
"2015-04-11",19.44
"2015-04-11",19.17
"2015-05-11",20.97
"2015-05-11",18.74
"2015-05-11",23.43
"2015-05-11",18.21
"2015-05-11",18.26
"2015-05-11",20.75
"2015-05-11",19.31
"2015-05-11",21.26
"2015-05-11",22.73
"2015-05-11",21.22
"2015-05-11",19.88
"2015-05-11",21.67
"2015-05-11",17.82
"2015-05-11",21.88
"2015-05-11",18.92
"2015-05-11",22.24
"2015-05-11",20.03
"2015-05-11",21.87
"2015-05-11",20.22
"2015-05-11",18.56
"2015-05-11",21.69
"2015-05-11",21.69
"2015-05-11",17.63
"2015-05-11",19.11
"2015-05-11",20.88
"2015-05-11",18.63
"2015-05-11",19.1
"2015-05-11",20.23
"2015-06-11",24.58
"2015-06-11",20.84
"2015-06-11",17.31
"2015-06-11",21.95
"2015-06-11",19.27
"2015-06-11",20.73
"2015-06-11",17.1
"2015-06-11",19.76
"2015-06-11",21.51
"2015-06-11",21.06
"2015-06-11",19.26
"2015-06-11",18.94
"2015-06-11",20.48
"2015-06-11",20.48
"2015-06-11",20.32
"2015-06-11",17.48
"2015-06-11",18.94
"2015-06-11",20.8
"2015-06-11",21.73
"2015-06-11",21.38
"2015-06-11",16.84
"2015-06-11",17.59
"2015-06-11",18.86
"2015-06-11",18.86
"2015-06-11",16.38
"2015-06-11",18.76
"2015-06-11",21.55
"2015-06-11",17.75
"2015-06-11",20.48
"2015-06-11",18.84
"2015-06-11",22.08
"2015-06-11",24.48
"2015-06-11",20.47
"2015-07-11",20.55
"2015-07-11",17.71
"2015-07-11",19.76
"2015-09-11",21.34
"2015-09-11",22.49
"2015-07-11",20.67
"2015-07-11",24.39
"2015-07-11",18.62
"2015-07-11",21.61
"2015-07-11",19.01
"2015-07-11",19.01
"2015-07-11",18.91
"2015-07-11",15.49
"2015-07-11",19.58
"2015-07-11",20.94
"2015-07-11",19.04
"2015-07-11",20.33
"2015-07-11",15.37
"2015-07-11",17.08
"2015-07-11",22.17
"2015-07-11",21.68
"2015-07-11",21.01
"2015-07-11",15.8
"2015-07-11",23.49
"2015-07-11",16.49
"2015-07-11",20.95
"2015-07-11",22.37
"2015-07-11",17.94
"2015-07-11",20.0
"2015-07-11",20.52
"2015-07-11",24.0
"2015-07-11",20.14
"2015-07-11",20.98
"2015-07-11",18.94
"2015-07-11",18.94
"2015-07-11",20.39
"2015-07-11",20.98
"2015-07-11",18.22
"2015-07-11",21.68
"2015-07-11",20.86
"2015-07-11",21.41
"2015-07-11",18.71
"2015-07-11",19.13
"2015-09-11",18.16
"2015-09-11",21.13
"2015-09-11",20.56
"2015-09-11",16.84
"2015-09-11",19.62
"2015-09-11",19.62
"2015-09-11",12.56
"2015-09-11",21.62
"2015-09-11",20.08
"2015-09-11",19.12
"2015-09-11",21.06
"2015-09-11",19.12
"2015-09-11",18.97
"2015-09-11",19.34
"2015-09-11",16.15
"2015-09-11",20.57
"2015-09-11",19.0
"2015-09-11",17.77
"2015-09-11",18.07
"2015-09-11",17.96
"2015-09-11",18.55
"2015-09-11",18.53
"2015-09-11",16.49
"2015-10-11",20.7
"2015-09-11",20.25
"2015-09-11",22.73
"2015-09-11",22.73
"2015-09-11",20.62
"2015-09-11",19.54
"2015-10-11",17.9
"2015-10-11",20.69
"2015-10-11",18.64
"2015-11-13",21.42
"2015-11-13",19.22
"2015-10-11",21.85
"2015-10-11",20.61
"2015-10-11",18.72
"2015-10-11",23.56
"2015-11-13",19.36
"2015-10-11",20.26
"2015-10-11",20.26
"2015-10-11",18.31
"2015-10-11",20.04
"2015-10-11",14.07
"2015-10-11",21.23
"2015-09-11",20.75
"2015-09-11",20.18
"2015-09-11",19.69
"2015-09-11",21.61
"2015-10-11",19.73
"2015-10-11",20.21
"2015-10-11",19.81
"2015-10-11",17.89
