,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,410,21,2015-04-01,00,Varias,13:20,12:40,06:10,5612B,LA RODA DE ANDALUCÃ�A,"0,0","976,0","973,2",SEVILLA,"10,8","30,3","20,7","11,1","3,6"
1,410,19,2015-04-02,Varias,18,09:20,15:20,03:20,5612B,LA RODA DE ANDALUCÃ�A,"0,0","975,1","971,9",SEVILLA,"15,3","23,8","17,4","11,1","5,3"
2,410,20,2015-04-03,00,Varias,01:10,14:10,06:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","972,3","966,4",SEVILLA,"11,1","25,3","17,6","10,0","3,3"
3,410,99,2015-04-04,00,16,Varias,13:20,06:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","966,5","960,5",SEVILLA,"11,7","27,6","19,1","10,6","2,8"
4,410,18,2015-04-05,24,16,01:00,13:30,06:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","963,3","960,3",SEVILLA,"13,1","24,7","17,2","9,7","2,5"
5,410,16,2015-04-06,24,Varias,10:20,12:10,22:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,5","963,1",SEVILLA,"13,6","20,0","15,9","11,8","5,0"
6,410,19,2015-04-07,21,03,16:40,12:30,06:20,5612B,LA RODA DE ANDALUCÃ�A,"1,2","972,8","968,7",SEVILLA,"17,2","16,9","13,8","10,6","6,9"
7,410,19,2015-04-08,24,05,13:10,15:00,03:40,5612B,LA RODA DE ANDALUCÃ�A,"4,4","972,9","970,9",SEVILLA,"15,3","15,5","12,6","9,8","6,1"
8,410,20,2015-04-09,23,02,12:50,15:00,06:00,5612B,LA RODA DE ANDALUCÃ�A,"0,4","974,3","970,8",SEVILLA,"13,6","17,6","13,6","9,7","5,0"
9,410,16,2015-04-10,00,17,10:00,14:00,04:40,5612B,LA RODA DE ANDALUCÃ�A,"0,0","974,2","971,3",SEVILLA,"10,8","20,4","15,1","9,8","4,2"
10,410,20,2015-04-11,23,05,16:20,15:30,23:59,5612B,LA RODA DE ANDALUCÃ�A,"3,6","975,0","972,2",SEVILLA,"8,6","18,6","13,6","8,7","1,9"
11,410,19,2015-04-12,00,17,16:10,15:50,06:10,5612B,LA RODA DE ANDALUCÃ�A,"0,0","974,8","970,3",SEVILLA,"9,4","20,4","13,5","6,6","2,8"
12,410,19,2015-04-13,10,04,16:00,13:50,06:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","973,1","970,5",SEVILLA,"13,3","24,2","16,4","8,6","4,4"
13,410,16,2015-04-14,00,17,07:50,13:30,01:00,5612B,LA RODA DE ANDALUCÃ�A,"0,2","971,1","965,3",SEVILLA,"14,7","25,1","18,8","12,6","5,6"
14,410,16,2015-04-15,23,16,15:20,13:10,23:59,5612B,LA RODA DE ANDALUCÃ�A,"3,4","968,8","965,2",SEVILLA,"14,2","22,2","16,3","10,4","3,3"
15,410,29,2015-04-16,24,03,16:50,15:30,00:20,5612B,LA RODA DE ANDALUCÃ�A,"0,2","971,6","967,2",SEVILLA,"8,6","20,4","15,3","10,2","2,2"
16,410,3,2015-04-17,00,Varias,15:10,15:00,05:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","971,4","967,3",SEVILLA,"6,7","24,6","16,2","7,7","1,7"
17,410,30,2015-04-18,24,17,12:30,15:10,05:40,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,1","966,0",SEVILLA,"11,7","22,7","15,6","8,5","3,6"
18,410,36,2015-04-19,24,Varias,11:10,16:00,06:20,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,6","966,8",SEVILLA,"8,9","22,2","14,4","6,5","2,2"
