FECHA,ACIDEZ
2015-10-21,0.13
2015-10-22,0.25
2015-10-21,0.2
2015-10-23,0.25
2015-10-23,0.12
2015-10-24,0.19
2015-10-28,0.25
2015-10-28,0.21
2015-10-22,0.15
2015-10-22,0.22
2015-10-22,0.12
2015-10-22,0.03
2015-10-23,0.08
2015-10-23,0.19
2015-10-23,0.22
2015-10-23,0.22
2015-10-23,0.19
2015-10-23,0.22
2015-10-23,0.12
2015-10-23,0.19
2015-10-24,0.22
2015-10-24,0.14
2015-10-24,0.23
2015-10-24,0.18
2015-10-24,0.25
2015-10-24,0.19
2015-10-24,0.11
2015-10-24,0.05
2015-10-24,0.23
2015-10-28,0.21
2015-10-28,0.21
2015-10-28,0.19
2015-10-28,0.16
2015-10-28,0.24
2015-10-28,0.24
2015-10-28,0.26
2015-10-28,0.32
2015-10-28,0.23
2015-10-28,0.29
2015-10-28,0.15
2015-10-28,0.32
2015-10-28,0.21
2015-10-28,0.13
2015-10-29,0.2
2015-10-28,0.21
2015-10-28,0.19
2015-10-29,0.28
2015-10-29,0.24
2015-10-29,0.08
2015-10-29,0.18
2015-10-29,0.21
2015-10-29,0.27
2015-10-29,0.18
2015-10-29,0.27
2015-10-29,0.3
2015-10-29,0.21
2015-10-29,0.21
2015-10-29,0.34
2015-10-29,0.16
2015-10-29,0.2
2015-10-29,0.1
2015-10-29,0.18
2015-10-29,0.31
2015-10-29,0.19
2015-10-29,0.23
2015-10-29,0.16
2015-10-30,0.22
2015-10-30,0.2
2015-10-30,0.25
2015-10-30,0.2
2015-10-30,0.19
2015-10-30,0.25
2015-10-30,0.2
2015-10-30,0.19
2015-10-30,0.38
2015-10-30,0.23
2015-10-30,0.32
2015-10-30,0.2
2015-10-30,0.33
2015-10-30,0.2
2015-10-30,0.29
2015-10-30,0.17
2015-10-30,0.08
2015-10-30,0.2
2015-10-30,0.39
2015-04-11,0.31
2015-04-11,0.2
2015-04-11,0.2
2015-10-31,0.21
2015-10-31,0.43
2015-10-31,0.18
2015-10-31,0.25
2015-10-31,0.34
2015-10-31,0.22
2015-10-31,0.2
2015-10-31,0.22
2015-10-31,0.2
2015-10-31,0.3
2015-10-31,0.26
2015-10-31,0.24
2015-10-31,0.19
2015-10-31,0.2
2015-10-31,0.23
2015-10-31,0.27
2015-10-31,0.18
2015-10-31,0.28
2015-10-31,0.28
2015-04-11,0.23
2015-10-31,0.26
2015-10-31,0.19
2015-10-31,0.22
2015-10-31,0.14
2015-10-31,0.22
2015-04-11,0.23
2015-10-31,0.17
2015-10-31,0.22
2015-10-31,0.19
2015-10-31,0.25
2015-02-11,0.21
2015-02-11,0.26
2015-02-11,0.29
2015-04-11,0.25
2015-04-11,0.17
2015-04-11,0.27
2015-04-11,0.21
2015-04-11,0.25
2015-04-11,0.53
2015-04-11,0.23
2015-04-11,0.53
2015-05-11,0.32
2015-04-11,0.23
2015-04-11,0.13
2015-04-11,0.28
2015-04-11,0.22
2015-04-11,0.29
2015-05-11,0.26
2015-05-11,0.23
2015-05-11,0.22
2015-05-11,0.24
2015-05-11,0.24
2015-05-11,0.31
2015-05-11,0.27
2015-05-11,0.23
2015-05-11,0.21
2015-05-11,0.11
2015-05-11,0.16
2015-05-11,0.24
2015-05-11,0.23
