,0
0,18.49
1,20.31
2,19.93
3,20.41
4,17.72
5,17.77
6,18.88
7,19.47
8,17.63
9,19.07
10,20.27
11,19.86
12,19.58
13,18.83
14,17.9
15,18.55
16,17.05
17,16.73
18,18.64
19,18.62
20,20.3
21,19.56
22,20.24
23,19.19
24,19.11
25,19.13
26,18.09
27,20.45
28,20.62
29,20.58
30,17.38
31,15.96
32,17.64
33,18.28
34,17.3601
35,19.77
36,22.32
37,21.83
38,21.91
39,19.79
40,18.12
41,20.77
42,16.23
43,20.11
44,18.79
45,21.14
46,17.42
47,17.43
48,17.6
49,18.87
50,19.68
51,18.36
52,19.55
53,18.35
54,19.02
55,17.49
56,20.08
57,19.25
58,18.85
59,20.08
60,19.42
61,19.39
62,15.95
63,20.29
64,19.66
65,18.75
66,20.15
67,17.74
68,20.0
69,16.69
70,17.74
71,17.54
72,19.6
73,19.08
74,14.3
75,18.7057
76,18.83
77,19.04
78,20.71
79,17.91
80,20.31
81,18.97
82,18.0
83,21.37
84,19.88
85,17.27
86,19.87
87,18.85
88,15.35
89,20.22
90,17.95
91,18.58
92,18.64
93,21.65
94,17.24
95,17.84
96,19.75
97,21.17
98,19.08
99,20.32
100,20.1
101,17.67
102,20.23
103,19.42
104,21.6
105,19.06
106,19.25
107,19.43
108,19.59
109,20.02
110,19.83
111,17.41
112,18.8
113,19.92
114,18.5532
115,20.72
116,21.07
117,21.1
118,20.51
119,18.88
120,19.13
121,20.14
122,20.58
123,19.41
124,18.48
125,19.67
126,18.81
127,18.59
128,21.93
129,22.21
130,19.87
131,17.77
132,20.09
133,18.79
134,19.95
135,18.4
136,17.09
137,20.44
138,20.7
139,21.69
140,20.28
141,19.7
142,17.59
143,21.47
144,18.64
145,20.95
146,22.15
147,20.47
148,22.28
149,17.9
150,19.89
151,20.32
152,19.61
153,20.09
154,19.81
155,19.92
156,19.28
157,19.51
158,18.22
159,20.58
160,19.0145
161,18.82
162,18.61
163,19.64
164,20.26
165,17.64
166,21.08
167,20.66
168,17.42
