,0
0,13.42
1,15.32
2,18.17
3,17.81
4,14.36
5,15.38
6,15.12
7,17.64
8,18.46
9,14.85
10,15.59
11,15.65
12,17.64
13,15.45
14,15.41
15,17.26
16,14.67
17,13.79
18,11.97
19,16.83
20,16.7
21,14.12
22,15.5
23,18.78
24,17.36
25,15.06
26,14.69
27,14.76
28,16.25
29,16.77
30,13.9
31,18.2
32,18.26
33,15.67
34,17.48
35,17.52
36,13.51
37,15.54
38,16.06
39,15.44
40,15.73
41,16.47
42,14.56
43,15.8088
44,10.32
45,11.56
46,14.87
47,14.55
48,16.16
49,13.15
50,13.27
51,14.83
52,13.94
53,14.36
54,16.37
55,16.24
56,14.03
57,13.05
58,14.59
59,14.43
60,14.03
61,15.2
62,15.15
63,16.47
64,15.54
65,14.39
66,15.17
67,15.33
68,16.41
69,14.95
70,15.44
71,12.3
72,16.11
73,17.81
74,17.24
75,15.14
76,14.781
77,17.22
78,14.87
79,15.58
80,12.82
81,16.37
82,17.59
83,17.58
84,15.28
85,14.94
86,14.9
87,16.72
88,15.93
89,17.89
90,17.05
91,17.4
92,18.47
93,17.35
94,10.39
95,15.62
96,15.21
97,15.38
98,14.97
99,14.41
100,14.44
101,14.95
102,15.78
103,15.82
104,15.86
105,14.51
106,17.96
107,15.95
108,15.08
109,16.62
110,16.25
111,16.68
112,15.01
113,15.11
114,15.41
115,14.37
116,15.07
117,17.06
118,8.99
119,17.36
120,14.65
121,15.28
122,13.41
123,12.8
124,18.5
125,15.6071
126,16.72
127,14.39
128,15.19
129,17.71
130,12.4
131,15.26
132,16.41
133,16.71
134,16.17
135,14.4
136,17.0
137,15.6
138,15.1
139,14.74
140,14.18
141,13.15
142,16.04
143,13.2
144,10.44
145,15.18
146,15.06
147,15.04
148,16.42
149,16.96
150,16.8
151,17.65
152,16.26
153,18.42
154,17.28
155,18.03
156,16.23
157,12.68
158,18.39
159,12.21
160,15.39
161,16.34
162,15.81
163,16.67
164,16.11
165,15.0
166,17.68
167,13.9
168,14.88
169,15.54
170,15.53
171,15.83
172,16.34
173,14.82
174,14.48
175,15.24
176,17.97
177,16.86
178,16.15
179,17.41
180,15.43
181,16.78
182,16.25
183,15.2
184,16.06
185,18.87
186,10.63
187,16.14
188,14.06
189,15.88
190,16.57
191,15.88
192,15.21
193,15.7803
194,17.64
195,16.97
196,16.53
197,17.06
198,14.59
199,14.03
200,17.37
201,14.92
202,15.39
203,15.35
204,15.73
205,15.5
206,13.16
207,13.07
208,14.5
209,12.43
210,15.04
211,15.94
212,14.41
213,14.43
214,16.37
215,15.48
216,14.03
217,14.39
218,15.06
219,15.98
220,14.02
221,15.51
222,15.44
223,15.44
224,13.72
225,15.3
226,15.36
227,13.52
228,14.62
229,13.99
230,16.01
231,11.78
232,14.28
233,17.72
234,9.89
235,13.95
236,15.99
237,13.93
238,16.06
239,15.45
240,14.23
241,14.04
242,15.88
243,15.55
244,16.42
245,16.19
246,14.5
247,15.41
248,14.74
249,14.8297
250,13.27
251,11.24
252,14.95
253,12.84
254,14.17
255,13.07
256,16.32
257,12.52
258,14.3
259,15.23
260,13.82
