,0,1
0,0.0,12.6
1,0.0,14.2
2,0.0,15.0
3,0.0,15.8
4,0.0,16.6
5,0.0,15.6
6,0.0,13.6
7,0.0,13.6
8,0.0,16.3
9,0.0,17.0
10,0.0,18.8
11,0.0,19.9
12,0.0,19.2
13,0.0,17.9
14,0.0,18.2
15,0.0,18.6
16,0.0,20.0
17,0.0,22.0
18,0.0,18.3
19,0.0,15.7
20,0.2,15.0
21,0.0,15.1
22,0.0,18.8
23,0.0,17.9
24,0.0,17.4
25,0.0,16.1
26,11.0,17.2
27,7.4,13.2
28,1.2,14.2
29,0.0,14.8
30,0.0,15.0
31,0.0,17.2
32,0.0,18.4
33,0.0,20.6
34,0.0,17.0
35,0.0,16.0
36,0.0,18.6
37,0.0,21.4
38,0.0,20.8
39,5.6,17.2
40,3.6,16.6
41,7.2,15.8
42,0.0,16.1
43,0.0,17.7
44,0.0,20.9
45,0.0,21.8
46,0.0,23.4
47,0.0,18.8
48,0.0,17.6
49,0.0,20.0
50,0.0,21.8
51,0.0,22.5
52,0.0,22.0
53,0.0,23.6
54,0.0,25.5
55,0.0,22.4
56,0.0,21.8
57,0.0,22.0
58,0.0,20.8
59,0.0,21.6
60,0.0,23.2
