,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,410,34,2017-04-01,10,18,13:40,16:00,06:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","975,3","972,4",SEVILLA,"11,1","19,4","12,6","5,8","3,3"
1,410,29,2017-04-02,00,16,15:00,14:40,06:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","973,0","968,7",SEVILLA,"6,9","24,6","14,2","3,9","1,4"
2,410,20,2017-04-03,22,02,13:00,13:30,00:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","974,2","970,1",SEVILLA,"11,4","22,3","15,0","7,8","3,1"
3,410,20,2017-04-04,00,16,17:10,14:50,06:40,5612B,LA RODA DE ANDALUCÃ�A,"0,0","973,7","970,4",SEVILLA,"10,6","24,5","15,8","7,2","3,3"
4,410,1,2017-04-05,00,16,15:20,14:40,06:40,5612B,LA RODA DE ANDALUCÃ�A,"0,0","971,3","966,8",SEVILLA,"13,9","24,5","16,6","8,8","2,8"
5,410,18,2017-04-06,10,16,17:30,14:10,05:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,8","967,4",SEVILLA,"12,8","21,7","15,6","9,5","4,4"
6,410,19,2017-04-07,24,04,13:50,13:30,06:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","970,4","967,5",SEVILLA,"15,8","21,1","13,6","6,2","4,7"
7,410,20,2017-04-08,22,16,14:30,13:10,05:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","971,6","969,4",SEVILLA,"13,1","21,2","13,6","5,9","4,4"
8,410,20,2017-04-09,22,03,16:00,14:10,06:10,5612B,LA RODA DE ANDALUCÃ�A,"0,0","973,4","970,1",SEVILLA,"15,0","21,5","16,3","11,1","5,6"
9,410,99,2017-04-10,22,04,Varias,14:00,06:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","974,0","971,7",SEVILLA,"12,5","22,9","17,0","11,1","5,6"
10,410,18,2017-04-11,10,17,16:40,14:20,04:20,5612B,LA RODA DE ANDALUCÃ�A,,"974,6","970,7",SEVILLA,"8,9","28,3","18,8","9,3","2,5"
11,410,18,2017-04-12,00,17,15:30,14:20,06:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","972,7","968,9",SEVILLA,"9,4","30,6","19,9","9,2","2,8"
