,0
0,17.76
1,17.99
2,19.45
3,18.37
4,18.51
5,17.86
6,19.78
7,18.53
8,17.67
9,13.63
10,16.64
12,18.2
13,17.18
14,19.46
15,18.92
16,18.03
17,18.29
18,16.19
19,19.48
20,17.09
21,18.8
22,19.79
23,17.02
24,19.12
25,17.66
26,18.44
27,17.04
28,17.09
29,17.3751
30,16.74
32,16.26
33,17.53
34,18.09
35,19.44
36,17.99
37,17.68
38,17.86
39,18.39
40,17.59
41,18.44
42,18.9
43,18.44
44,19.28
45,16.51
46,16.5
47,16.77
48,19.68
49,18.51
51,19.25
52,20.44
53,18.61
54,17.7941
55,17.38
56,19.49
57,19.22
58,18.0
59,17.55
60,18.12
61,19.7
62,19.94
63,19.18
64,19.17
65,17.89
66,18.41
67,17.93
68,17.21
69,17.51
70,18.08
71,16.52
72,17.37
73,17.12
74,16.86
75,17.92
76,17.78
77,17.35
78,19.57
79,15.25
80,19.18
81,17.09
82,17.78
83,15.43
84,17.29
85,18.77
86,19.53
87,16.6
88,18.79
89,18.52
90,19.67
91,17.24
92,18.0525
93,22.05
94,19.99
95,18.56
96,17.1
97,18.18
98,19.96
99,20.91
100,18.72
101,17.27
102,19.2
103,19.11
104,18.93
105,18.31
106,17.76
107,18.06
108,18.73
109,18.46
110,19.58
111,19.68
112,18.79
113,16.73
114,18.5
115,16.62
116,19.96
117,19.21
118,19.11
119,18.21
120,18.8
121,17.4
122,19.13
123,19.9
124,19.8
125,17.08
126,17.44
127,17.59
128,17.31
129,17.88
130,19.69
131,18.6
132,15.33
133,18.27
134,18.7
135,18.1
136,18.71
137,18.11
139,19.25
140,19.54
141,18.0678
142,17.31
143,15.5
144,17.94
145,17.88
146,17.91
147,18.62
148,18.44
149,18.27
150,20.54
151,19.27
152,21.1
153,20.24
154,19.9
155,19.17
156,19.86
157,20.3
158,17.65
159,19.5
160,18.13
161,20.16
162,18.42
163,19.45
164,17.43
165,18.07
166,15.42
167,17.11
168,20.96
169,20.2
170,18.57
171,17.76
172,19.81
173,16.95
174,18.33
175,17.1
176,19.69
177,20.53
178,21.69
179,17.91
180,19.39
181,21.49
182,20.07
183,19.58
184,19.96
185,19.18
186,20.07
187,19.27
188,19.24
189,20.12
190,17.09
191,16.42
192,15.76
193,19.61
194,19.52
195,19.2572
196,20.66
197,16.1
198,23.34
199,18.95
200,17.06
201,18.63
202,17.93
203,20.52
204,17.31
205,19.67
206,17.67
207,19.64
208,17.75
209,18.64
210,18.59
211,18.74
212,19.12
213,19.36
214,19.4
215,17.71
216,15.72
217,14.88
218,18.81
219,18.75
220,17.53
221,18.28
222,18.07
223,17.86
224,17.92
225,18.88
226,19.3
227,17.59
228,19.41
229,18.42
230,19.61
231,18.04
232,18.78
233,17.77
234,18.26
235,22.58
236,17.5
237,20.78
238,18.57
239,18.95
240,17.06
241,18.92
242,18.31
243,18.83
244,18.91
245,17.94
246,19.57
247,17.66
248,18.54
249,18.52
250,18.68
251,16.24
252,17.54
253,17.49
254,17.74
256,18.1652
257,18.38
258,18.83
259,19.65
260,17.93
261,16.74
262,19.5
263,18.41
264,23.39
265,18.38
266,19.96
267,18.69
268,19.41
269,18.96
270,16.95
271,16.89
272,20.56
273,18.77
275,17.82
276,19.14
277,18.44
278,18.42
279,20.03
280,18.46
281,17.54
282,18.84
283,16.56
284,17.31
285,17.73
286,17.54
287,19.04
288,17.9
289,18.84
290,17.26
291,17.34
292,21.77
293,18.28
294,16.4
295,12.71
296,17.69
297,18.36
298,16.71
299,19.18
300,18.04
301,16.61
302,19.67
303,18.12
304,17.27
305,18.0
306,17.18
307,17.91
308,18.26
309,18.63
310,19.3
311,16.64
312,19.14
313,18.73
314,18.2
315,18.31
316,16.67
317,18.23
318,19.18
319,20.89
320,18.0606
321,19.27
322,19.37
323,17.5
324,19.85
325,19.24
326,15.45
327,21.53
328,19.54
329,18.3
330,18.97
331,18.66
332,20.75
333,19.25
334,17.85
335,19.88
336,17.96
337,20.66
338,18.7238
339,17.57
340,19.06
341,19.43
342,18.83
343,19.38
344,18.52
345,19.0
346,18.64
347,18.06
348,12.68
349,15.69
350,15.29
351,18.92
352,16.21
353,18.21
354,19.23
355,18.26
356,18.57
357,17.61
358,19.04
359,18.9
360,18.14
361,15.98
362,19.26
363,19.27
364,17.86
365,18.15
366,20.76
367,17.02
368,15.78
369,18.62
370,12.48
371,18.71
372,17.54
373,18.03
374,19.89
375,16.34
376,19.06
377,17.07
378,18.65
379,17.68
380,17.72
381,17.38
382,18.66
383,18.89
384,19.79
385,17.3
386,20.89
387,16.74
388,18.86
389,18.52
390,18.6
391,19.13
392,18.68
393,17.65
394,19.61
395,18.4
396,16.85
397,17.69
398,18.44
399,17.77
400,16.2
401,20.19
402,15.4
403,19.04
404,19.15
405,18.62
406,19.51
407,17.36
408,17.92
409,18.84
410,18.58
411,17.84
412,18.7
413,18.97
414,19.59
415,19.33
416,18.32
417,17.55
418,18.5
419,19.89
420,19.7
421,18.3141
422,18.08
423,17.43
424,18.76
425,20.65
426,20.11
427,18.17
428,19.37
429,19.67
430,18.61
431,16.25
432,15.99
433,17.45
434,19.92
435,17.57
436,17.32
437,18.08
438,20.62
439,19.7
440,15.87
441,17.9
442,18.24
443,18.99
444,19.39
445,18.33
446,19.05
447,16.23
448,17.72
449,19.23
450,19.14
451,19.46
452,19.17
453,19.09
454,17.69
455,18.97
456,17.96
457,20.34
458,19.18
459,17.52
460,15.81
461,18.57
462,19.13
463,20.2
464,18.92
465,17.97
466,17.54
467,16.61
468,18.26
469,14.19
470,18.5
471,18.16
472,17.32
473,18.81
474,20.4
475,20.69
476,19.69
477,18.73
478,19.11
479,18.13
480,18.39
481,19.02
482,18.16
483,17.82
484,16.28
485,16.62
486,18.3
487,19.5
488,18.82
489,19.13
490,19.49
491,17.56
492,19.04
493,17.17
494,17.23
495,18.5997
496,17.12
497,19.6
498,17.84
499,17.72
500,19.79
501,18.57
502,18.48
503,16.48
504,19.63
505,19.2
507,20.54
508,18.99
509,18.21
510,17.94
511,17.74
513,17.5
514,17.4
515,18.01
516,18.06
517,18.12
518,17.68
519,17.54
520,21.0
521,18.54
522,20.54
523,18.96
524,16.59
525,18.85
526,14.39
527,18.04
528,19.4
529,12.75
530,16.3
531,19.58
532,15.71
533,19.7
534,19.41
535,19.2
536,19.98
537,19.0
538,17.6
539,17.77
540,16.11
541,18.16
542,19.01
543,17.07
544,17.7
545,19.99
546,18.99
547,18.88
548,17.65
549,15.12
550,15.59
551,18.57
552,17.57
553,18.86
554,15.18
555,17.56
556,18.3688
557,19.05
558,18.94
559,19.37
560,18.38
561,20.01
562,19.33
563,18.06
564,15.49
565,19.4
566,17.4
567,16.93
568,17.93
569,19.46
570,19.7
571,19.36
572,16.99
573,17.44
574,17.59
575,17.2
576,18.98
577,18.56
578,19.17
579,17.79
580,19.36
581,20.04
582,19.17
583,16.87
584,18.57
585,15.49
586,18.79
587,15.58
588,17.32
589,18.84
590,19.31
591,17.25
592,17.11
593,18.04
594,18.08
595,16.52
596,19.0
597,19.75
598,17.83
599,20.03
600,13.5
601,18.31
602,18.58
603,21.87
604,17.32
605,18.3026
606,18.47
607,20.25
608,17.3
609,17.62
610,18.02
611,17.21
612,18.55
613,18.45
614,16.85
615,15.97
616,18.26
617,15.26
618,18.29
619,18.64
620,16.23
621,14.82
622,17.59
623,17.55
624,18.81
625,17.16
626,17.65
627,18.86
628,19.23
629,18.5
630,17.28
631,16.62
632,18.75
633,19.57
634,18.69
635,18.03
636,16.95
637,17.49
638,17.33
639,13.92
640,16.45
641,16.57
642,18.2
643,20.94
645,18.06
646,17.46
647,15.17
648,19.01
649,17.4864
651,18.86
652,19.16
654,17.46
655,17.94
656,18.03
657,18.74
658,18.33
659,19.41
660,16.52
661,16.96
662,17.05
664,17.84
665,18.75
666,18.38
667,18.18
669,16.33
670,18.11
671,18.35
672,17.22
674,17.9434
675,17.13
676,16.21
677,18.42
678,17.79
679,19.44
680,15.93
681,16.58
682,16.54
683,14.03
684,17.4
685,17.19
687,16.6
688,15.91
689,18.32
690,17.42
691,15.87
692,21.87
693,15.8
694,18.22
695,19.0
696,20.59
697,14.82
698,19.19
699,15.9
700,17.77
701,16.2
702,15.84
703,15.56
704,16.03
705,19.59
706,19.3
707,16.75
708,18.73
709,17.58
710,18.72
711,18.11
712,16.92
713,18.08
714,16.12
715,16.82
716,14.49
717,18.67
718,17.54
719,17.24
720,16.74
721,17.61
722,18.89
723,19.0
724,19.12
725,17.05
726,19.09
727,17.18
728,17.99
729,17.97
730,17.63
731,17.25
732,17.54
733,19.61
734,19.39
735,19.02
736,18.97
737,17.5153
738,20.37
739,17.82
740,19.28
741,18.98
742,18.25
743,18.81
744,18.08
745,18.14
746,18.46
747,17.58
748,18.64
749,17.02
751,16.13
752,18.56
753,18.42
754,19.6
755,17.15
756,18.04
757,17.74
758,17.44
759,18.33
760,16.72
761,23.46
762,17.55
763,18.26
764,15.55
765,20.1
766,17.6
767,21.23
768,18.37
769,17.62
770,19.95
771,18.69
772,19.29
773,20.03
774,19.55
775,19.52
776,19.54
777,19.39
778,18.0
779,19.0
780,16.35
781,17.01
782,17.33
783,18.72
784,17.23
785,16.22
786,17.63
787,18.99
788,17.74
789,18.97
790,18.27
791,18.28
792,19.13
793,15.49
794,17.68
795,15.87
796,17.62
797,17.85
798,16.83
799,17.42
800,19.06
801,18.35
802,18.47
803,18.02
804,18.11
805,18.96
806,18.42
807,15.93
808,16.64
809,19.6
810,20.62
811,18.27
812,18.108
813,17.46
814,16.04
815,18.29
817,18.58
818,18.57
819,19.97
820,17.36
821,19.03
822,19.35
823,18.63
824,19.5
825,17.67
826,19.32
827,19.16
828,18.16
829,16.23
830,17.89
831,16.14
833,16.29
834,16.82
835,17.81
836,19.44
837,18.59
838,18.28
839,17.52
840,17.34
842,20.01
843,19.35
844,20.76
845,17.98
846,19.36
847,18.74
848,19.36
849,17.47
851,16.56
852,17.77
853,18.15
854,18.43
855,19.77
856,20.37
857,18.3
858,18.94
859,19.5
860,19.23
861,21.16
862,18.88
863,19.28
864,17.55
865,18.82
866,20.05
867,19.9
868,17.62
869,17.82
870,21.12
871,17.04
872,19.5
873,19.84
874,19.33
875,19.8
876,19.85
877,16.15
878,19.4
879,17.85
880,18.3788
881,16.76
882,17.92
883,18.71
885,20.71
886,19.3
887,19.87
888,19.05
889,20.18
890,17.55
892,18.95
893,16.47
894,17.81
895,19.2
896,19.91
897,19.09
898,16.34
899,17.78
900,19.52
901,19.99
902,18.34
903,17.89
904,18.93
905,20.81
906,21.24
907,18.88
908,20.21
909,15.9
910,15.31
911,18.52
912,20.31
913,18.87
914,18.39
915,15.4
916,17.71
917,19.47
918,19.61
919,18.39
920,19.11
921,18.78
923,18.86
924,19.18
925,18.87
927,17.93
928,19.38
929,22.0
930,18.94
931,18.54
932,20.13
933,17.0
934,18.01
935,18.35
936,18.06
937,20.74
938,18.74
939,18.42
940,17.96
941,19.8
943,20.56
944,18.92
945,18.43
947,17.43
948,19.61
949,19.46
950,20.2
951,19.94
952,19.51
953,17.08
954,18.83
955,18.6956
956,20.33
957,18.95
959,19.36
960,21.3
961,17.06
962,20.25
963,19.55
964,15.8
965,17.73
966,20.34
968,20.32
970,19.91
971,18.45
972,18.65
974,15.69
975,20.31
976,18.3
977,18.89
978,18.54
980,16.26
981,18.31
982,18.88
983,19.77
984,17.83
985,18.04
986,19.41
987,17.48
988,17.34
989,18.18
991,19.0
992,16.73
993,18.83
994,16.75
995,19.91
996,19.14
997,18.28
998,19.51
999,19.14
1001,19.01
1002,19.49
1003,18.59
1004,19.6
1005,18.7
1006,17.58
1007,18.29
1008,18.8
1009,18.91
1010,18.78
1011,18.95
1012,17.49
1013,18.91
1014,18.5
1015,18.5283
1016,18.68
1017,18.17
1018,18.29
1019,20.83
1020,19.53
1021,21.42
1022,17.38
1026,18.37
1028,17.12
1029,16.03
1030,17.33
1031,18.56
1032,18.53
1033,19.68
1034,16.97
1035,18.55
1036,19.35
1037,19.33
1038,19.88
1039,19.54
1040,20.75
1041,19.15
1042,20.56
1044,18.99
1045,17.82
1046,16.32
1047,16.59
1048,17.36
1049,17.11
1050,19.41
1052,18.83
1053,18.39
1054,16.2
1055,20.42
1056,17.16
1057,17.53
1058,17.13
1059,18.34
1060,19.36
1062,18.66
1063,18.18
1064,19.79
1065,18.66
1066,20.43
1067,21.0
1068,19.76
1069,17.06
1070,18.63
1071,20.78
1072,17.8
