,0,1
0,0.0,11.2
1,0.0,15.9
2,0.0,14.0
3,0.0,14.2
4,0.0,13.4
5,0.6,16.0
6,4.2,11.6
7,2.8,12.0
8,0.0,9.6
9,17.4,9.6
10,0.0,10.4
11,12.6,10.0
12,5.0,8.2
13,0.0,11.0
14,1.0,12.6
15,0.0,12.6
16,0.0,14.1
17,0.0,16.4
18,0.0,17.5
19,0.2,15.4
20,0.0,17.0
21,2.0,19.0
22,0.4,20.8
23,0.4,20.6
24,0.0,18.0
25,0.0,18.6
26,0.0,18.6
27,1.6,14.5
28,0.0,12.2
29,0.0,11.0
30,0.2,10.6
31,0.0,11.8
32,0.0,13.4
33,0.0,15.1
34,0.0,16.4
35,0.0,18.1
36,0.0,18.4
37,0.0,18.4
38,0.0,16.4
39,0.0,18.7
40,0.0,17.3
41,0.0,17.6
42,0.0,13.2
43,0.0,15.2
44,0.0,18.8
45,0.0,19.2
46,0.0,18.4
47,0.0,18.8
48,4.4,18.8
49,10.4,17.4
50,0.2,16.8
51,0.0,18.6
52,0.0,19.6
53,0.0,19.7
54,0.2,16.6
55,0.0,17.6
56,0.0,18.6
57,0.0,18.3
58,0.0,16.1
59,0.0,17.0
60,0.0,17.8
