,altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,tmax,tmed,tmin,velmedia
0,410,36,2016-04-01,00,18,12:10,16:20,06:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,8","964,9",SEVILLA,"10,8","16,5","9,0","1,4","3,6"
1,410,17,2016-04-02,22,Varias,10:00,15:00,06:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","965,6","962,6",SEVILLA,"8,6","21,6","12,6","3,6","2,2"
2,410,29,2016-04-03,21,Varias,13:30,12:50,06:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","967,4","964,5",SEVILLA,"13,9","20,0","12,6","5,2","2,8"
3,410,26,2016-04-04,00,17,20:20,11:10,04:50,5612B,LA RODA DE ANDALUCÃ�A,"27,0","967,2","956,3",SEVILLA,"14,2","14,7","11,8","9,0","5,0"
4,410,29,2016-04-05,Varias,Varias,00:20,16:50,06:20,5612B,LA RODA DE ANDALUCÃ�A,"0,0","964,2","957,6",SEVILLA,"12,8","17,4","12,3","7,2","4,7"
5,410,32,2016-04-06,10,03,16:40,16:40,06:30,5612B,LA RODA DE ANDALUCÃ�A,"0,0","967,0","963,8",SEVILLA,"10,6","20,3","12,6","4,9","1,9"
6,410,30,2016-04-07,10,17,16:00,15:00,05:00,5612B,LA RODA DE ANDALUCÃ�A,"0,0","967,5","964,7",SEVILLA,"9,2","22,4","14,8","7,3","2,2"
7,410,35,2016-04-08,21,05,11:30,14:00,23:59,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,2","963,4",SEVILLA,"13,6","17,6","12,4","7,2","4,4"
8,410,26,2016-04-09,00,24,17:20,14:40,02:50,5612B,LA RODA DE ANDALUCÃ�A,"0,0","969,0","963,4",SEVILLA,"7,8","20,1","12,4","4,6","2,8"
9,410,99,2016-04-10,00,17,18:50,15:10,06:20,5612B,LA RODA DE ANDALUCÃ�A,"1,6","963,4","959,9",SEVILLA,"10,3","15,9","10,6","5,4","2,8"
10,410,23,2016-04-11,22,05,13:40,13:40,06:00,5612B,LA RODA DE ANDALUCÃ�A,"2,0","965,2","961,2",SEVILLA,"10,8","17,2","13,0","8,8","2,5"
